City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saint-joseph,-21.3667,55.6167,19.21,70,2,2.4,RE,1722305380
83,maughold,54.2988,-4.3184,14.57,90,54,2.69,IM,1722305382
84,inverloch,-38.6333,145.7167,13.36,52,58,1.6,AU,1722305383
85,tangalle,6.024,80.7911,25.09,71,75,4.93,LK,1722305384
86,longyearbyen,78.2186,15.6401,7.91,93,100,4.63,SJ,1722305386
87,tiksi,71.6872,128.8694,3.2,96,100,3.4,RU,1722305387
88,buba,11.5833,-15.0,24.37,96,95,2.25,GW,1722305389
89,lebu,-37.6167,-73.65,8.38,72,100,2.47,CL,1722305390
90,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,82,75,1.0,RU,1722305391
91,bajil,15.0584,43.2851,31.55,52,64,2.75,YE,1722305392
92,fort mcmurray,56.7268,-111.381,21.16,60,100,4.51,CA,1722305394
93,trairi,-3.2778,-39.2689,24.44,86,63,3.63,BR,1722305395
94,dharmavaram,14.4333,77.7167,26.99,71,100,7.36,IN,1722305396
95,kapoeta,4.7717,33.5903,22.71,84,100,0.86,SS,1722305398
96,kailua-kona,19.6406,-155.9956,28.98,77,100,4.12,US,1722305399
97,al qitena,14.8648,32.3668,28.35,64,19,6.68,SD,1722305400
98,palmer,42.1584,-72.3287,20.78,82,100,2.06,US,1722305117
99,sao vicente,-23.9631,-46.3919,20.1,94,100,5.36,BR,1722305403
100,scottburgh,-30.2867,30.7532,12.06,75,0,3.0,ZA,1722305404
101,smithers,54.7804,-127.1743,21.0,48,74,1.64,CA,1722305405
102,shixing,24.9482,114.0657,30.27,70,5,1.43,CN,1722305407
103,san patricio,28.017,-97.5169,29.93,78,3,5.87,US,1722305408
104,ouddorp,51.8117,3.9347,21.12,70,0,3.91,NL,1722305409
105,atafu village,-8.5421,-172.5159,27.32,75,100,10.12,TK,1722305411
106,punta arenas,-53.15,-70.9167,3.06,93,75,6.17,CL,1722305412
107,borger,52.9233,6.7931,16.13,85,0,2.39,NL,1722305413
108,bikenibeu village,1.3673,173.1241,31.98,66,75,3.09,KI,1722305415
109,sola,-13.8833,167.55,26.07,67,98,8.44,VU,1722305416
110,clinton,42.587,-82.9199,26.18,83,75,4.63,US,1722305417
111,praia da vitoria,38.7333,-27.0667,24.14,94,40,1.2,PT,1722305148
112,sitka,57.0531,-135.33,16.94,72,100,0.0,US,1722305423
113,richland center,43.3347,-90.3868,20.99,94,0,1.6,US,1722305424
114,port mathurin,-19.6833,63.4167,21.86,71,94,6.19,MU,1722305426
115,ocean shores,46.9737,-124.1563,17.38,98,100,5.14,US,1722305426
116,gremda,34.75,10.7833,28.32,47,0,3.53,TN,1722305428
117,suva,-18.1416,178.4415,25.71,53,20,8.23,FJ,1722305429
118,birjand,32.8663,59.2211,21.94,40,0,2.4,IR,1722305431
119,buala,-8.145,159.5921,27.0,81,98,3.89,SB,1722305432
120,jose maria morelos,30.8066,-112.684,35.73,36,1,3.83,MX,1722305434
121,city of balikpapan,-1.242,116.8942,29.97,70,40,4.12,ID,1722305435
122,vadso,70.0744,29.7487,13.49,88,100,1.54,NO,1722305437
123,hobyo,5.3505,48.5268,24.37,83,97,11.29,SO,1722305438
124,qaqortoq,60.7167,-46.0333,7.54,85,100,4.47,GL,1722305440
125,talnakh,69.4865,88.3972,23.8,40,100,3.87,RU,1722305441
126,dudinka,69.4058,86.1778,23.91,43,62,7.02,RU,1722305442
127,savanna-la-mar,18.219,-78.1332,26.63,91,100,1.06,JM,1722305443
128,wailua homesteads,22.0669,-159.378,26.44,85,40,8.75,US,1722305445
129,swakopmund,-22.6833,14.5333,8.32,86,7,1.16,NA,1722305446
130,dakhla,23.6848,-15.958,19.46,95,1,7.24,EH,1722305448
131,college,64.8569,-147.8028,13.03,87,75,3.09,US,1722305449
132,torbat-e jam,35.244,60.6225,23.8,34,0,10.27,IR,1722305450
133,namanga,-2.5433,36.7905,17.37,86,20,1.88,KE,1722305451
134,jamestown,42.097,-79.2353,22.8,94,20,2.06,US,1722305453
135,sao joao da barra,-21.6403,-41.0511,21.31,88,24,6.91,BR,1722305454
136,vila velha,-20.3297,-40.2925,23.3,87,0,3.09,BR,1722305455
137,guiyang,26.5833,106.7167,21.86,92,100,0.92,CN,1722305457
138,viedma,-40.8135,-62.9967,5.69,28,78,7.54,AR,1722305458
139,shingu,33.7333,135.9833,33.92,51,1,1.38,JP,1722305459
140,portland,45.5234,-122.6762,20.85,89,100,0.89,US,1722305054
141,hamilton,39.1834,-84.5333,26.97,83,100,3.09,US,1722305462
142,ubata,-14.2139,-39.5228,18.55,99,32,0.22,BR,1722305463
143,inderbor,48.55,51.7833,25.2,37,48,6.02,KZ,1722305464
144,ormara,25.2088,64.6357,28.36,90,100,6.05,PK,1722305466
145,palikir - national government center,6.9248,158.1611,30.47,84,75,5.14,FM,1722305467
146,sao luiz gonzaga,-28.4083,-54.9608,8.52,87,4,4.56,BR,1722305469
147,jiujiang,29.7333,115.9833,33.21,63,0,1.42,CN,1722305470
148,stanley,54.868,-1.6985,12.5,94,0,3.09,GB,1722305471
149,leiyang,26.4024,112.8591,30.6,66,2,3.39,CN,1722305473
150,rundu,-17.9333,19.7667,12.15,19,2,2.43,NA,1722305474
151,logan,41.7355,-111.8344,30.02,32,0,1.79,US,1722305477
152,sidi ech chahmi,35.659,-0.5217,29.97,48,0,2.57,DZ,1722305478
153,ilulissat,69.2167,-51.1,4.01,93,75,0.0,GL,1722305480
154,mahina,-17.5065,-149.489,22.87,94,75,9.77,PF,1722305424
155,kalymnos,36.95,26.9833,24.74,73,0,5.66,GR,1722305482
156,banda aceh,5.5577,95.3222,28.91,66,100,2.2,ID,1722305483
157,mili,6.0815,171.735,26.99,79,100,4.67,MH,1722305484
158,bamboo flat,11.7,92.7167,29.05,79,40,3.6,IN,1722305486
159,rio san juan,19.6439,-70.0763,26.18,88,72,4.16,DO,1722305487
160,vorgashor,67.5833,63.95,18.77,71,93,3.64,RU,1722305488
161,enewetak,11.3474,162.3373,28.7,76,9,3.08,MH,1722305491
162,surman,32.7567,12.5716,25.41,66,0,0.85,LY,1722305492
163,ivdel',60.6911,60.4206,13.99,94,57,0.75,RU,1722305494
164,neelankarai,12.9455,80.2575,31.07,77,40,3.09,IN,1722305495
165,san jose del guaviare,2.5729,-72.6459,21.71,98,100,1.22,CO,1722305496
166,ribeira grande,38.5167,-28.7,22.1,88,9,1.79,PT,1722305498
167,odienne,9.51,-7.5692,21.08,99,100,1.48,CI,1722305499
168,north bay,46.3168,-79.4663,21.08,83,0,1.02,CA,1722305500
169,borodino,55.9106,94.8983,20.95,84,100,4.5,RU,1722305502
170,kill devil hills,36.0307,-75.676,26.1,74,75,5.66,US,1722305503
171,lihue,21.9789,-159.3672,26.77,77,40,8.75,US,1722305506
172,abinsk,44.8726,38.1611,21.05,90,2,3.03,RU,1722305507
173,port douglas,-16.4833,145.4667,21.68,66,99,8.01,AU,1722305508
174,wewak,-3.5534,143.6268,29.82,67,8,3.48,PG,1722305510
175,novodvinsk,64.4165,40.8122,12.86,93,100,1.48,RU,1722305511
176,hermanus,-34.4187,19.2345,7.11,66,100,2.93,ZA,1722305512
177,sagalo,12.2007,-10.6996,21.09,98,93,0.6,ML,1722305514
178,orapa,-21.2833,25.3667,10.3,15,0,3.72,BW,1722305515
179,al ghayzah,16.2079,52.176,25.39,91,100,1.58,YE,1722305516
180,horta,38.5333,-28.6333,21.68,88,23,1.79,PT,1722305518
181,kavieng,-2.5744,150.7967,28.33,77,94,3.53,PG,1722305519
182,yatou,37.15,122.3833,31.63,73,13,4.58,CN,1722305520
183,kapuskasing,49.4169,-82.4331,21.05,100,100,3.09,CA,1722305522
184,barcelos,41.5388,-8.6151,27.08,62,75,2.0,PT,1722305523
185,abra pampa,-22.7205,-65.697,5.53,59,0,4.1,AR,1722305524
186,nanakuli,21.3906,-158.1547,29.65,49,20,5.66,US,1722305526
187,turuntayevo,52.2,107.6167,23.05,69,14,0.75,RU,1722305527
188,goondiwindi,-28.55,150.3167,15.45,39,0,5.91,AU,1722305528
189,anadyr,64.75,177.4833,19.28,52,40,3.0,RU,1722305529
190,kharp,66.8014,65.8081,17.49,86,100,2.54,RU,1722305531
191,chonchi,-42.6128,-73.8092,5.07,84,100,0.55,CL,1722305532
192,malango,-2.9627,119.9001,23.7,88,53,1.44,ID,1722305533
193,yanam,16.7333,82.2167,28.3,83,90,2.17,IN,1722305535
194,suntar,62.1444,117.6319,18.67,48,0,3.88,RU,1722305536
195,usinsk,65.9939,57.5281,16.41,93,97,3.49,RU,1722305537
196,bel ombre,-4.6167,55.4167,25.91,78,40,6.17,SC,1722305538
197,manay,7.215,126.5397,28.7,71,16,3.33,PH,1722305540
198,mil'kovo,55.6078,37.7956,17.02,65,94,1.08,RU,1722305541
199,laojunmiao,39.8333,97.7333,27.71,16,57,3.97,CN,1722305542
200,morondava,-20.2833,44.2833,17.19,73,0,2.78,MG,1722305544
201,tsiombe,-25.3,45.4833,19.27,79,100,2.21,MG,1722305545
202,garden city,42.3256,-83.331,26.14,86,0,4.63,US,1722305546
203,utrik,11.2278,169.8474,27.84,80,91,9.76,MH,1722305548
204,khorugh,37.4897,71.553,18.94,38,41,0.88,TJ,1722305549
205,burang,30.25,81.1667,13.32,68,0,0.15,CN,1722305550
206,aginskoye,51.1,114.53,25.08,53,52,3.81,RU,1722305552
207,san jeronimito,17.55,-101.3333,26.91,78,75,4.63,MX,1722305553
208,ambon,-3.6954,128.1814,28.82,95,40,3.09,ID,1722305554
209,villanueva,15.3167,-88.0,25.55,89,20,1.54,HN,1722305556
210,al kharijah,25.4514,30.5464,29.77,25,96,3.02,EG,1722305557
211,papao,-17.75,-149.55,22.82,86,61,8.19,PF,1722305558
212,sitia,35.2,26.0986,28.32,62,0,7.14,GR,1722305560
213,pamandzi,-12.7967,45.2794,20.88,78,0,1.03,YT,1722305562
